"year","month","CC","EC","LC","OSF","WO"
1962,4,5.21756649017334,5.24286079406738,5.44429445266724,5.4610915184021,2.71892642974854
1962,5,7.80624055862427,8.104905128479,8.12592315673828,8.05885219573975,4.99971199035645
1962,6,12.2595891952515,12.533899307251,12.5206508636475,12.5255060195923,9.77817726135254
1962,7,15.6385450363159,15.8485240936279,16.4979667663574,16.4886360168457,12.9544610977173
1962,8,15.3066816329956,15.8739976882935,16.0070915222168,16.1429691314697,12.9145460128784
1962,9,12.1484642028809,12.5782251358032,12.9626560211182,12.9639558792114,9.86098003387451
1962,10,7.62845945358276,7.63428783416748,7.93624973297119,8.22316455841064,5.82215452194214
1962,11,1.0168229341507,1.26863849163055,0.925623536109924,1.07986211776733,-0.803186237812042
1962,12,-3.33419704437256,-3.5174458026886,-3.16287088394165,-3.27098679542542,-4.76330137252808
1963,1,-7.93387317657471,-7.99677896499634,-7.84003114700317,-7.832200050354,-9.409255027771
1963,2,-0.266013413667679,-0.608122766017914,0.0651025846600533,0.435534477233887,-2.16167140007019
1963,3,-2.17894792556763,-2.0271897315979,-1.67572569847107,-1.35879766941071,-4.65705013275146
1963,4,1.47470998764038,1.43957328796387,1.6789059638977,1.6595413684845,-1.25678205490112
1963,5,9.50222206115723,9.74500179290771,9.66891002655029,9.78628063201904,6.81315469741821
1963,6,11.3444881439209,11.4735345840454,11.3758659362793,11.1177368164062,8.66744995117188
1963,7,16.9031600952148,17.1973361968994,17.3978576660156,17.528003692627,14.5363521575928
1963,8,16.6745567321777,17.087215423584,17.5459747314453,17.6901969909668,14.1241025924683
1963,9,13.262469291687,13.259090423584,14.1377267837524,14.2645225524902,10.9760580062866
1963,10,8.95387840270996,8.62846755981445,9.23732662200928,9.39580059051514,6.87240314483643
1963,11,-0.0064406800083816,0.172539681196213,-0.0393969379365444,0.0801345631480217,-1.816859126091
1963,12,-5.11694622039795,-5.21766138076782,-5.34137773513794,-6.06154155731201,-6.08717727661133
1964,1,-8.06509304046631,-8.04399013519287,-8.11181831359863,-8.31172180175781,-9.26996994018555
