"WY","BC","CC","EC","LC","MC","PC","RB"
1992,5.65664596603216,8.00353978631275,8.43070043729303,4.93543481273078,6.61870868105055,7.83326084887395,8.16825980420321
1993,3.63644532340847,5.86649783474125,6.36584709049904,2.88894820772622,4.49354824758556,5.72143882464056,5.98834371305492
1994,5.25698023266988,7.76059145633489,8.27817635503534,4.56773689632138,6.21798532466366,7.57159033932098,7.86781032346699
1995,4.09209425939273,6.55978004573143,7.06930792658296,3.3707954736401,5.05636929534886,6.37944329307504,6.63722480878438
1996,5.18482737723595,7.57476689450728,8.0691533770229,4.45549451327715,6.15846977138617,7.41494358090755,7.69865668862244
1997,4.54085293706149,6.98642324682784,7.52348461347083,3.84770957345832,5.50221837269117,6.85023215176308,7.09453887939453
1998,4.3983614588437,6.89533701138954,7.29765628314998,3.66340673651597,5.39232444942814,6.69759808492987,6.94402482313653
1999,4.29152255572685,6.80054256099544,7.26867581720222,3.54195195828399,5.31718166275715,6.64380227180376,6.88503231087776
2000,6.22806687726349,8.74886577686325,8.9263087217925,5.53264732960143,7.22569883276856,8.2891851884257,8.78744906170772
2001,5.27927783215291,7.73428879829302,7.89640152160436,4.60354837097534,6.27025901650729,7.26771538224939,7.8339369460328
2002,4.85691680222341,7.34650350760107,7.54103801960814,4.18873735435613,5.88443180436957,6.93755588727455,7.42526387841734
2003,5.40286140213274,8.02936382608054,8.27478560960456,4.71318019497884,6.49814255296776,7.65273464411905,8.14473423141323
2004,5.12993668858471,7.39601845786871,7.638520557698,4.3952013189024,6.09984407268587,7.12403716155089,7.49011173697769
2005,5.14705998962873,7.63184111828673,7.89979318364026,4.30436368772428,6.23376033294385,7.35042477486885,7.75762898317755
2006,5.25140274420176,7.75347174185596,7.96270034035591,4.50708671821001,6.2573352539376,7.29627446104607,7.80002249887545
2007,5.85206281714243,7.8727840031663,8.06647121416379,5.08129064334582,6.7098526984045,7.4965391315826,7.85295448107262
2008,4.20053024923867,6.37549180454508,6.67907339330417,3.47863948345184,5.1248474824624,6.13316665630523,6.42486450914802
2009,5.22055232067631,7.43113495944297,7.70474397776878,4.53021325411862,6.13966644504299,7.16575451583078,7.49035515262656
2010,4.32965344272248,6.5039861607225,6.74439998228256,3.57719414479112,5.21500509258819,6.20238214845527,6.58999853950657
2011,4.46712808645751,6.80173384018931,7.08548711930236,3.7359352761752,5.42695601166111,6.50152074857934,6.88245382766201
2012,5.95662651589659,8.16596680065322,8.43295146630761,5.26521645657352,6.88121239148854,7.8910034269583,8.18729224784778
2013,5.25901880876659,7.30186538696289,7.5813490554078,4.49633193816224,6.16351697379596,7.11725333782092,7.29003091381021
2014,5.21666988358922,7.35878110258547,7.67865357072386,4.49907207554334,6.14366933907548,7.17357969218737,7.36330318712208
2015,6.5804162577407,8.69918096947343,9.25949196260269,5.87469659831426,7.51206153198464,8.74773441471466,8.75852515044278
2016,5.85446520980264,7.99699100204667,8.65711168089851,5.06123835402108,6.79259719793262,8.12277934135096,8.09996574119629
2017,5.9245936073669,8.11162183056139,8.90221334222245,5.04440960492173,6.92254242113192,8.35995741086463,8.24231027968942
2018,6.56485331744364,8.42353815281228,9.11493106998809,5.86610597225085,7.43695834450526,8.67733472242747,8.51260105681746
2019,4.70491224674329,6.76343985959275,7.42656646428043,4.03404829077525,5.58293920420621,6.86873615326947,6.84862141837812
2020,5.27436280889752,7.31238618900216,7.74235125903875,4.68330212417847,6.06629712480665,7.17363738785676,7.30402899439869
2021,6.05550796463065,8.18298950913834,8.4042554189081,5.46916131532356,6.97366109212784,7.84693886907133,8.14384685607806
2022,5.71553717243345,8.09065049086531,8.26850317259357,4.99558943150795,6.68088876809159,7.69513957696418,8.05269047854698
2023,4.06576736977656,6.38781830121393,6.53537718433223,3.46298035072954,5.00918352571252,6.10506098956278,6.11970072576444
2024,5.17549243862512,7.65103115279818,7.85936413045789,4.51579385311877,6.39006264727624,7.60203379099486,7.2507988992936
2025,5.28247430814456,8.06517449388765,8.13529905709502,4.46679967102939,6.15600962197944,7.55530157742435,7.70113673732705
